Manufacturer;Model Name;Category;Screen Size;Screen;RAM;GPU;Operating System;Operating System Version;Weight;Price (Euros);Touchscreen;Pixels;CPU Manufacturer;CPU Model;CPU Freq;Storage Prim;Storage Prim Type;Storage Sec
HP;ZBook 15u;Notebook;15.6;Full HD 1920x1080;8;AMD FirePro W4190M;Windows;10;1.9;1269.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R5 M430;Windows;10;2.24;565.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Lenovo;V330-15IKB (i7-8550U/8GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;8;Intel UHD Graphics 620;Windows;10;2.05;880.00;False;2073600.0;Intel;Core i7 8550U;1.8;256GB;SSD;
Dell;XPS 15;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce GTX 1050;Windows;10;2;1829.00;False;2073600.0;Intel;Core i7 7700HQ;2.8;256GB;SSD;
Lenovo;V330-15IKB (i5-8250U/8GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;8;Intel UHD Graphics 620;Windows;10;2.05;739.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Acer;;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R5;Windows;10;2.23;469.00;False;2073600.0;AMD;A8-Series 7410;2.2;256GB;SSD;
HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.84;1144.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Inspiron 7570;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 940MX;Windows;10;2;1142.75;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.84;1304.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.86;639.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R7 M445;Windows;10;2.33;899.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
HP;ProBook 650;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 630;Windows;10;2.31;1427.00;False;2073600.0;Intel;Core i7 7820HQ;2.9;256GB;SSD;
Asus;Pro P2540UA-AB51;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.37;749.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Lenovo;ThinkPad P51;Notebook;15.6;Full HD 1920x1080;8;Nvidia Quadro M2200M;Windows;10;2.67;2090.00;False;2073600.0;Intel;Core i7 7820HQ;2.9;256GB;SSD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;2.02;759.00;False;2073600.0;Intel;Core i5 8250U;1.6;2TB;HDD;
HP;ZBook 15u;Notebook;15.6;Full HD 1920x1080;8;AMD FirePro W4190M;Windows;10;1.9;1154.00;False;2073600.0;Intel;Core i5 7200U;2.5;500GB;HDD;
Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 520;Windows;10;2.2;675.00;False;2073600.0;Intel;Core i5 8250U;1.6;1TB;HDD;
Lenovo;Ideapad 520-15IKBR;Notebook;15.6;Full HD 1920x1080;8;Intel UHD Graphics 620;Windows;10;2.17;898.90;False;2073600.0;Intel;Core i7 8550U;1.8;256GB;SSD;
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.18;836.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 930MX;Windows;10;2.04;889.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.9;1377.00;False;2073600.0;Intel;Core i5 7440HQ;2.8;256GB;SSD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 930MX;Windows;10;1.93;1369.00;False;2073600.0;Intel;Core i7 7600U;2.8;256GB;SSD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;2.2;797.41;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.9;1116.99;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Lenovo;ThinkPad E570;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.3;830.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.84;1219.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 920MX;Windows;10;2.2;899.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;XPS 15;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce GTX 1050;Windows;10;2;1820.00;False;2073600.0;Intel;Core i7 7700HQ;2.8;256GB;SSD;
Asus;VivoBook Pro;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce GTX 1050;Windows;10;1.99;906.62;False;2073600.0;Intel;Core i5 7300HQ;2.5;1TB;HDD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;2.2;919.00;False;2073600.0;Intel;Core i7 8550U;1.8;256GB;SSD;
Dell;Latitude 3580;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.06;955.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
HP;15-bs012nv (i7-7500U/8GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon 530;Windows;10;2.1;745.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.18;795.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.9;1179.00;False;2073600.0;Intel;Core i5 7300U;2.6;256GB;SSD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;1.86;539.00;False;2073600.0;Intel;Core i3 6006U;2;256GB;SSD;
HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;1.84;1900.00;False;2073600.0;Intel;Core i5 6300U;2.4;256GB;SSD;
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R5 M420X;Windows;10;2;739.00;False;2073600.0;Intel;Core i3 6006U;2;256GB;SSD;
Asus;Pro P2540UA-XS51;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.37;1099.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce GT 940MX;Windows;10;1.98;961.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;Vostro 3568;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R5 M420;Windows;10;2.18;789.81;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Asus;R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.3;590.00;False;2073600.0;Intel;Core i5 7200U;2.5;128GB;HDD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.9;945.00;False;2073600.0;Intel;Core i5 7200U;2.5;128GB;SSD;
HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R7 M465;Windows;10;1.84;1349.00;False;2073600.0;Intel;Core i5 7300U;2.6;256GB;SSD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 930MX;Windows;10;2.04;900.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;1.9;935.00;False;2073600.0;Intel;Core i5 7300U;2.6;500GB;HDD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 930MX;Windows;10;2.04;1018.99;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
HP;ProBook 650;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;2.31;1165.00;False;2073600.0;Intel;Core i5 6200U;2.3;256GB;SSD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.04;806.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Lenovo;ThinkPad T560;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;2.3;1349.00;False;2073600.0;Intel;Core i5 6200U;2.3;256GB;SSD;
Dell;Latitude E5570;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;2.09;1046.44;False;2073600.0;Intel;Core i5 6300U;2.4;500GB;HDD;
HP;Elitebook 850;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;1.84;1228.99;False;2073600.0;Intel;Core i7 6500U;2.5;256GB;SSD;
Lenovo;Thinkpad L560;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;2.3;1049.60;False;2073600.0;Intel;Core i5 6200U;2.3;256GB;SSD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.04;1070.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Dell;Vostro 3568;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 620;Windows;10;2.18;750.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R7 M445;Windows;10;2.36;638.80;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Dell;Vostro 5568;Notebook;15.6;Full HD 1920x1080;8;Nvidia GeForce 940MX;Windows;10;2.18;1009.90;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Lenovo;B51-80 (i5-6200U/8GB/1008GB/Radeon;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R5 M330;Windows;10;2.5;788.49;False;2073600.0;Intel;Core i5 6200U;2.3;1TB;Hybrid;
HP;250 G5;Notebook;15.6;Full HD 1920x1080;8;Intel HD Graphics 520;Windows;10;1.96;679.00;False;2073600.0;Intel;Core i7 6500U;2.5;256GB;SSD;
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;8;AMD Radeon R7 M445;Windows;10;2.36;889.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R5 M430;Windows;10;2.2;498.90;False;2073600.0;Intel;Core i3 6006U;2;256GB;SSD;
Chuwi;"LapBook 15.6""";Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics;Windows;10;1.89;244.99;False;2073600.0;Intel;Atom x5-Z8300;1.44;64GB;Flash Storage;
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R5 M430;Windows;10;2.3;639.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
HP;255 G6;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R4 Graphics;Windows;10;1.86;398.49;False;2073600.0;AMD;A6-Series 9220;2.5;256GB;SSD;
HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;1.91;439.00;False;2073600.0;Intel;Core i3 6006U;2;128GB;SSD;
Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;1.9;549.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Acer;Aspire A515-51G-32MX;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce MX130;Windows;10;2.2;530.00;False;2073600.0;Intel;Core i3 7130U;2.7;1TB;HDD;
Lenovo;IdeaPad 320-15AST;Notebook;15.6;Full HD 1920x1080;4;AMD R4 Graphics;Windows;10;2.2;399.00;False;2073600.0;AMD;A6-Series 9220;2.5;128GB;SSD;
Acer;Aspire 5;Notebook;15.6;Full HD 1920x1080;;Nvidia GeForce MX150;Windows;10;2.2;689.00;False;2073600.0;Intel;Core i7 8550U;1.8;1TB;HDD;
Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;15.6;Full HD 1920x1080;6;Nvidia GeForce 920M;Windows;10;2;577.00;False;2073600.0;Intel;Core i3 7100U;2.4;256GB;SSD;
HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R2;Windows;10;2.1;349.00;False;2073600.0;AMD;E-Series E2-9000e;1.5;500GB;HDD;
Lenovo;Ideapad 310-15ISK;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;1.85;414.90;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R5 M430;Windows;10;2.2;449.00;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Acer;Aspire A515-51G-37JS;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce MX130;Windows;10;2.2;572.00;False;2073600.0;Intel;Core i3 7130U;2.7;256GB;SSD;
Asus;X541NA (N3350/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 500;Windows;10;2;344.00;False;2073600.0;Intel;Celeron Dual Core N3350;1.1;1TB;HDD;
HP;15-BS103nv (i5-8250U/6GB/256GB/Radeon;Notebook;15.6;Full HD 1920x1080;6;AMD Radeon 520;Windows;10;1.91;619.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Dell;Vostro 3568;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;2.18;657.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Full HD 1920x1080;6;Intel HD Graphics 620;Windows;10;2.2;579.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Lenovo;IdeaPad 310-15ABR;Notebook;15.6;Full HD 1920x1080;6;AMD Radeon R5 430;Windows;10;2.4;499.00;False;2073600.0;AMD;A10-Series 9600P;2.4;1TB;HDD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;1.86;469.00;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;1.85;449.00;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;12;AMD Radeon 530;Windows;10;2.2;899.00;False;2073600.0;AMD;A12-Series 9720P;3.6;2TB;HDD;
HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R5;Windows;10;1.91;488.99;False;2073600.0;AMD;A9-Series 9420;3;256GB;SSD;
Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;2.2;409.00;False;2073600.0;Intel;Core i3 6006U;2;500GB;HDD;
HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon 520;Windows;10;2.1;469.00;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Lenovo;ThinkPad P51;Notebook;15.6;Full HD 1920x1080;16;Nvidia Quadro M2200M;Windows;10;2.5;2449.00;False;2073600.0;Intel;Core i7 7820HQ;2.9;512GB;SSD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon 530;Windows;10;2.2;749.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Lenovo;IdeaPad 320-15IAP;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 505;Windows;10;2.2;349.00;False;2073600.0;Intel;Pentium Quad Core N4200;1.1;128GB;SSD;
Acer;Aspire E5-576G;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce 940MX;Windows;10;2.23;544.00;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Chuwi;Lapbook 15,6;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics;Windows;10;1.89;248.90;False;2073600.0;Intel;Atom x5-Z8350;1.44;64GB;Flash Storage;
Dell;XPS 15;Notebook;15.6;Full HD 1920x1080;16;Nvidia GeForce GTX 1050;Windows;10;2.06;1899.00;False;2073600.0;Intel;Core i7 7700HQ;2.8;512GB;SSD;
Acer;Aspire A515-51G;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce 940MX;Windows;10;2.2;639.00;False;2073600.0;Intel;Core i7 7500U;2.7;500GB;HDD;
Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce 920MX;Windows;10;2.2;799.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R5 M430;Windows;10;2.3;585.00;False;2073600.0;Intel;Core i5 7200U;2.5;500GB;HDD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 405;Windows;10;1.86;398.99;False;2073600.0;Intel;Pentium Quad Core N3710;1.6;256GB;SSD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;2.1;705.50;False;2073600.0;Intel;Core i3 7100U;2.4;128GB;SSD;
HP;250 G6;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;1.86;397.00;False;2073600.0;Intel;Core i3 6006U;2;500GB;HDD;
Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;2.2;499.00;False;2073600.0;Intel;Core i3 6006U;2;128GB;SSD;
Lenovo;IdeaPad 320-15IAP;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 505;Windows;10;2.2;344.00;False;2073600.0;Intel;Pentium Quad Core N4200;1.1;500GB;HDD;
Lenovo;V330-15IKB (i5-8250U/4GB/500GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;2.05;685.00;False;2073600.0;Intel;Core i5 8250U;1.6;500GB;HDD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;16;Nvidia GeForce 930MX;Windows;10;1.93;1537.39;False;2073600.0;Intel;Core i7 7600U;2.8;256GB;SSD;
Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;12;AMD Radeon 530;Windows;10;2.2;949.00;False;2073600.0;AMD;A12-Series 9720P;3.6;512GB;SSD;
Lenovo;IdeaPad 310-15IKB;Notebook;15.6;Full HD 1920x1080;6;Intel HD Graphics 620;Windows;10;2.4;564.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon 530;Windows;10;2.2;776.00;False;2073600.0;Intel;Core i5 8250U;1.6;1TB;HDD;
Lenovo;V330-15IKB (i5-8250U/4GB/256GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel UHD Graphics 620;Windows;10;1.8;829.00;False;2073600.0;Intel;Core i5 8250U;1.6;256GB;SSD;
Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce 920MX;Windows;10;2.2;579.00;False;2073600.0;Intel;Core i3 6006U;2;1TB;HDD;
Lenovo;IdeaPad 320-15ISK;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;2.2;535.00;False;2073600.0;Intel;Core i5 6200U;2.3;500GB;HDD;
Lenovo;IdeaPad 320-15AST;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon 530;Windows;10;2.2;399.00;False;2073600.0;AMD;A9-Series 9420;2.9;256GB;SSD;
Dell;Latitude 5580;Notebook;15.6;Full HD 1920x1080;16;Intel HD Graphics 620;Windows;10;1.93;1426.66;False;2073600.0;Intel;Core i5 7300U;2.6;512GB;SSD;
HP;15-BW037na (A9-9420/4GB/1TB/Radeon;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon 520;Windows;10;2.1;489.00;False;2073600.0;AMD;A9-Series 9420;3;1TB;HDD;
Lenovo;V310-15IKB (i7-7500U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;1.85;779.00;False;2073600.0;Intel;Core i7 7500U;2.7;1TB;HDD;
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;16;AMD Radeon R7 M445;Windows;10;2.3;1181.27;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Lenovo;IdeaPad 310-15IKB;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce 920M;Windows;10;2.4;609.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Dell;Vostro 3568;Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R5 M420;Windows;10;2.18;739.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 520;Windows;10;2.07;910.00;False;2073600.0;Intel;Core i5 6200U;2.3;500GB;HDD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;2.04;839.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Lenovo;IdeaPad 510-15IKB;Notebook;15.6;Full HD 1920x1080;6;Nvidia GeForce 940MX;Windows;10;2.2;789.00;False;2073600.0;Intel;Core i7 7500U;2.7;256GB;SSD;
Acer;Aspire E5-575;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;2.4;499.00;False;2073600.0;Intel;Core i3 7100U;2.4;1TB;HDD;
HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics 620;Windows;10;2.04;685.00;False;2073600.0;Intel;Core i3 7100U;2.4;500GB;HDD;
Lenovo;IdeaPad 310-15IKB;Notebook;15.6;Full HD 1920x1080;6;Nvidia GeForce 920MX;Windows;10;2.4;695.00;False;2073600.0;Intel;Core i5 7200U;2.5;256GB;SSD;
Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;6;AMD Radeon 530;Windows;10;2.2;549.00;False;2073600.0;AMD;A12-Series 9720P;3.6;256GB;SSD;
Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;4;Intel HD Graphics;Windows;10;2.25;559.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;16;AMD Radeon R7 M445;Windows;10;2.32;989.99;False;2073600.0;Intel;Core i7 7500U;2.7;2TB;HDD;
HP;15-bw011nv (A6-9220/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;4;AMD Radeon R4;Windows;10;2.1;398.00;False;2073600.0;AMD;A6-Series 9220;2.5;1TB;HDD;
Acer;Aspire E5-576G;Notebook;15.6;Full HD 1920x1080;4;Nvidia GeForce 940MX;Windows;10;2.23;616.00;False;2073600.0;Intel;Core i5 7200U;2.5;1TB;HDD;
Lenovo;IdeaPad 500-15ISK;Notebook;15.6;Full HD 1920x1080;16;AMD Radeon R7 M360;Windows;10;2.5;1099.00;False;2073600.0;Intel;Core i7 6500U;2.5;1TB;Hybrid;
